ID,Label,Type
"modality:bioluminescence","bioluminescence","modality"
"family:Spinavaculidae","Spinavaculidae","family"
"order:Multivalvulida","Multivalvulida","order"
"family:Moridae","Moridae","family"
"family:Gelyellidae","Gelyellidae","family"
"order:Gelyelloida","Gelyelloida","order"
"family:Hypsibiidae","Hypsibiidae","family"
"order:Eutardigrada","Eutardigrada","order"
"family:Akeridae","Akeridae","family"
"order:Opisthobranchia","Opisthobranchia","order"
"family:Pyuridae","Pyuridae","family"
"family:Onychognathiidae","Onychognathiidae","family"
"order:Bursovaginoidea","Bursovaginoidea","order"
"family:Spongillidae","Spongillidae","family"
"family:Styraconyxidae","Styraconyxidae","family"
"family:Orthophlebiidae","Orthophlebiidae","family"
"order:Mecoptera","Mecoptera","order"
"family:Fringillidae","Fringillidae","family"
"order:Passeriformes","Passeriformes","order"
"family:Paranebaliidae","Paranebaliidae","family"
"order:Leptostraca","Leptostraca","order"
"family:Diphyllobothriidae","Diphyllobothriidae","family"
"order:Cestoda","Cestoda","order"
"family:Haliotidae","Haliotidae","family"
"order:Not provided in context","Not provided in context","order"
"family:Pharidae","Pharidae","family"
"order:Adapedonta","Adapedonta","order"
"family:Blaniulidae","Blaniulidae","family"
"order:Julida","Julida","order"
"family:Whiteiidae","Whiteiidae","family"
"order:Coelacanthiformes","Coelacanthiformes","order"
"family:Seguenziidae","Seguenziidae","family"
"family:Pristidae","Pristidae","family"
"order:Rajiformes","Rajiformes","order"
"family:Xyalidae","Xyalidae","family"
"order:Monhysterida","Monhysterida","order"
"family:Hypopomidae","Hypopomidae","family"
"family:Rossellidae","Rossellidae","family"
"order:Lyssacinosa","Lyssacinosa","order"
"family:Rathouisiidae","Rathouisiidae","family"
"order:Pulmonata","Pulmonata","order"
"family:Cervidae","Cervidae","family"
"order:Artiodactyla","Artiodactyla","order"
"family:Cricetidae","Cricetidae","family"
"family:Aplysinidae","Aplysinidae","family"
"order:Verongiida","Verongiida","order"
"family:Glomeridellidae","Glomeridellidae","family"
"order:Glomerida","Glomerida","order"
"family:Euphrosinidae","Euphrosinidae","family"
"family:Nyctitheriidae","Nyctitheriidae","family"
"order:Eulipotyphla","Eulipotyphla","order"
"family:Onychiuridae","Onychiuridae","family"
"order:Collembola","Collembola","order"
"family:Orycteropodidae","Orycteropodidae","family"
"order:Tubulidentata","Tubulidentata","order"
"family:Squatinidae","Squatinidae","family"
"order:Squatiniformes","Squatiniformes","order"
"family:Spongiidae","Spongiidae","family"
"order:Dictyoceratida","Dictyoceratida","order"
"family:Diplostomidae","Diplostomidae","family"
"family:Trombiculidae","Trombiculidae","family"
"order:Prostigmata (implied)","Prostigmata (implied)","order"
"modality:hygroreception","hygroreception","modality"
"family:Actiniidae","Actiniidae","family"
"order:Actiniaria","Actiniaria","order"
"family:Echiuridae","Echiuridae","family"
"order:Echiurida","Echiurida","order"
"family:Antedonidae","Antedonidae","family"
"order:Comatulida","Comatulida","order"
"family:Psychropotidae","Psychropotidae","family"
"family:Cyrenidae","Cyrenidae","family"
"order:Venerida","Venerida","order"
"family:Clypeasteridae","Clypeasteridae","family"
"order:Clypeasteroida","Clypeasteroida","order"
"family:Gastrochaenidae","Gastrochaenidae","family"
"order:Gastrochaenida","Gastrochaenida","order"
"family:Phyllophoridae","Phyllophoridae","family"
"family:Isotomidae","Isotomidae","family"
"order:Entomobryomorpha","Entomobryomorpha","order"
